Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,0.00,12.00,8.40,8.40,8.40,8.40,0,4,0,2,2,0.00,46.23,49.06,58.19,4.00,4.00,4.00,0.00
2,0.00,10.00,7.00,7.00,7.00,7.00,0,4,0,4,4,0.00,44.45,48.85,54.25,3.33,3.33,3.33,0.00
3,0.00,9.10,6.37,6.37,6.37,6.37,0,5,0,4,4,0.00,50.37,56.27,69.51,3.03,3.03,3.03,0.00
4,0.00,28.00,19.60,19.60,19.60,19.60,1,11,0,1,1,0.00,31.86,34.29,40.38,9.33,9.33,9.33,0.00
5,0.00,18.00,12.60,12.60,12.60,12.60,0,11,0,4,4,0.00,21.25,22.39,26.54,6.00,6.00,6.00,0.00
6,0.00,8.20,5.74,5.74,5.74,5.74,0,17,0,2,2,0.00,42.89,47.66,52.19,2.73,2.73,2.73,0.00
7,0.00,1.20,0.84,0.84,0.84,0.84,0,19,0,1,1,0.00,38.73,42.54,48.77,0.40,0.40,0.40,0.00
8,0.00,10.00,7.00,7.00,7.00,7.00,0,22,0,2,2,0.00,53.04,59.98,66.60,3.33,3.33,3.33,0.00
9,0.00,16.10,11.27,11.27,11.27,11.27,0,24,0,4,4,0.00,41.98,46.92,57.08,5.37,5.37,5.37,0.00
10,0.00,35.50,24.85,24.85,24.85,24.85,0,24,0,1,1,0.00,34.82,37.16,41.21,11.83,11.83,11.83,0.00
11,0.00,36.00,25.20,25.20,25.20,25.20,1,25,0,4,4,0.00,42.33,44.94,51.51,12.00,12.00,12.00,0.00
12,0.00,27.20,19.04,19.04,19.04,19.04,0,25,0,1,1,0.00,38.98,43.40,51.15,9.07,9.07,9.07,0.00
13,0.00,8.00,5.60,5.60,5.60,5.60,0,40,0,1,1,0.00,39.15,45.07,54.51,2.67,2.67,2.67,0.00
14,0.00,16.00,11.20,11.20,11.20,11.20,1,47,0,4,4,0.00,38.94,43.27,53.66,5.33,5.33,5.33,0.00
15,0.00,16.00,11.20,11.20,11.20,11.20,1,47,0,2,2,0.00,39.42,43.14,44.85,5.33,5.33,5.33,0.00
16,0.00,23.00,16.10,16.10,16.10,16.10,0,48,0,2,2,0.00,53.85,59.36,60.39,7.67,7.67,7.67,0.00
17,0.00,24.00,16.80,16.80,16.80,16.80,0,48,0,1,1,0.00,55.29,61.81,70.25,8.00,8.00,8.00,0.00
18,0.00,13.00,9.10,9.10,9.10,9.10,1,57,0,4,4,0.00,44.21,49.36,53.69,4.33,4.33,4.33,0.00
19,0.00,24.00,16.80,16.80,16.80,16.80,0,64,0,1,1,0.00,39.28,43.14,48.32,8.00,8.00,8.00,0.00
20,0.00,27.60,19.32,19.32,19.32,19.32,0,64,0,1,1,0.00,45.82,51.36,57.71,9.20,9.20,9.20,0.00
21,0.00,30.04,21.03,21.03,21.03,21.03,0,69,0,1,1,0.00,33.42,36.66,41.54,10.01,10.01,10.01,0.00
22,0.00,23.00,16.10,16.10,16.10,16.10,0,70,0,2,2,0.00,37.93,41.23,47.87,7.67,7.67,7.67,0.00
23,0.00,6.68,4.68,4.68,4.68,4.68,0,85,0,2,2,0.00,75.26,82.57,95.12,2.23,2.23,2.23,0.00
24,0.00,9.20,6.44,6.44,6.44,6.44,0,86,0,2,2,0.00,42.83,49.67,56.95,3.07,3.07,3.07,0.00
25,0.00,46.00,32.20,32.20,32.20,32.20,1,102,0,4,4,0.00,45.45,48.94,55.86,15.33,15.33,15.33,0.00
26,0.00,12.00,8.40,8.40,8.40,8.40,1,122,0,4,4,0.00,44.62,48.83,51.87,4.00,4.00,4.00,0.00
27,0.00,9.00,6.30,6.30,6.30,6.30,0,124,0,4,4,0.00,34.31,36.76,43.20,3.00,3.00,3.00,0.00
28,0.00,26.00,18.20,18.20,18.20,18.20,1,125,0,4,4,0.00,30.02,33.35,36.82,8.67,8.67,8.67,0.00
29,0.00,12.00,8.40,8.40,8.40,8.40,1,125,0,2,2,0.00,59.17,63.87,71.80,4.00,4.00,4.00,0.00
30,0.00,17.00,11.90,11.90,11.90,11.90,1,132,0,1,1,0.00,65.29,70.97,81.38,5.67,5.67,5.67,0.00
31,0.00,4.00,2.80,2.80,2.80,2.80,0,132,0,2,2,0.00,45.56,50.51,61.28,1.33,1.33,1.33,0.00
32,0.00,14.00,9.80,9.80,9.80,9.80,0,132,0,4,4,0.00,37.99,41.98,47.01,4.67,4.67,4.67,0.00
33,0.00,14.00,9.80,9.80,9.80,9.80,0,132,0,4,4,0.00,42.24,46.60,51.46,4.67,4.67,4.67,0.00
