Bus,Demand 1 (MW),Demand 2 (MW),Demand 3 (MW),Demand 4 (MW),Demand 5 (MW),Demand 6 (MW),Demand 7 (MW),Demand 8 (MW),Demand 9 (MW),Demand 10 (MW),Demand 11 (MW),Demand 12 (MW),Demand 13 (MW),Demand 14 (MW),Demand 15 (MW),Demand 16 (MW),Demand 17 (MW),Demand 18 (MW),Demand 19 (MW),Demand 20 (MW),Demand 21 (MW),Demand 22 (MW),Demand 23 (MW),Demand 24 (MW),Zone
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
3,15.57,14.64,13.94,13.71,13.71,13.94,17.19,19.98,22.07,22.30,22.30,22.07,22.07,22.07,21.61,21.84,23.00,23.23,23.23,22.30,21.14,19.28,16.96,14.64,1
4,44.97,42.29,40.27,39.60,39.60,40.27,49.67,57.72,63.76,64.43,64.43,63.76,63.76,63.76,62.42,63.09,66.45,67.12,67.12,64.43,61.08,55.71,49.00,42.29,1
5,14.64,13.76,13.11,12.89,12.89,13.11,16.16,18.79,20.75,20.97,20.97,20.75,20.75,20.75,20.31,20.53,21.63,21.84,21.84,20.97,19.88,18.13,15.95,13.76,1
6,17.30,16.26,15.49,15.23,15.23,15.49,19.10,22.20,24.52,24.78,24.78,24.52,24.52,24.52,24.01,24.27,25.56,25.82,25.82,24.78,23.49,21.43,18.85,16.26,1
7,1.33,1.25,1.19,1.17,1.17,1.19,1.47,1.71,1.89,1.91,1.91,1.89,1.89,1.89,1.85,1.87,1.97,1.99,1.99,1.91,1.81,1.65,1.45,1.25,1
8,0.53,0.50,0.48,0.47,0.47,0.48,0.59,0.68,0.75,0.76,0.76,0.75,0.75,0.75,0.74,0.75,0.79,0.79,0.79,0.76,0.72,0.66,0.58,0.50,1
9,22.49,21.14,20.14,19.80,19.80,20.14,24.83,28.86,31.88,32.22,32.22,31.88,31.88,31.88,31.21,31.55,33.22,33.56,33.56,32.22,30.54,27.85,24.50,21.14,1
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
11,26.61,25.02,23.83,23.43,23.43,23.83,29.39,34.16,37.73,38.13,38.13,37.73,37.73,37.73,36.94,37.33,39.32,39.72,39.72,38.13,36.14,32.96,28.99,25.02,1
12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
14,49.23,46.29,44.08,43.35,43.35,44.08,54.37,63.19,69.80,70.54,70.54,69.80,69.80,69.80,68.33,69.07,72.74,73.47,73.47,70.54,66.86,60.98,53.64,46.29,1
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
16,13.70,12.89,12.27,12.07,12.07,12.27,15.14,17.59,19.43,19.64,19.64,19.43,19.43,19.43,19.02,19.23,20.25,20.45,20.45,19.64,18.61,16.98,14.93,12.89,1
17,14.90,14.01,13.34,13.12,13.12,13.34,16.46,19.13,21.13,21.35,21.35,21.13,21.13,21.13,20.68,20.91,22.02,22.24,22.24,21.35,20.24,18.46,16.24,14.01,1
18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
19,1.33,1.25,1.19,1.17,1.17,1.19,1.47,1.71,1.89,1.91,1.91,1.89,1.89,1.89,1.85,1.87,1.97,1.99,1.99,1.91,1.81,1.65,1.45,1.25,1
20,3.06,2.88,2.74,2.69,2.69,2.74,3.38,3.93,4.34,4.38,4.38,4.34,4.34,4.34,4.25,4.29,4.52,4.57,4.57,4.38,4.16,3.79,3.33,2.88,1
21,8.65,8.13,7.74,7.62,7.62,7.74,9.55,11.10,12.26,12.39,12.39,12.26,12.26,12.26,12.00,12.13,12.78,12.91,12.91,12.39,11.75,10.71,9.42,8.13,1
22,20.22,19.02,18.11,17.81,17.81,18.11,22.34,25.96,28.67,28.98,28.98,28.67,28.67,28.67,28.07,28.37,29.88,30.18,30.18,28.98,27.47,25.05,22.03,19.02,1
23,38.72,36.41,34.67,34.09,34.09,34.67,42.76,49.70,54.90,55.48,55.48,54.90,54.90,54.90,53.74,54.32,57.21,57.79,57.79,55.48,52.59,47.96,42.18,36.41,1
24,12.91,12.14,11.56,11.36,11.36,11.56,14.25,16.57,18.30,18.49,18.49,18.30,18.30,18.30,17.91,18.11,19.07,19.26,19.26,18.49,17.53,15.99,14.06,12.14,1
25,61.87,58.17,55.40,54.48,54.48,55.40,68.33,79.41,87.72,88.65,88.65,87.72,87.72,87.72,85.88,86.80,91.42,92.34,92.34,88.65,84.03,76.64,67.41,58.17,1
26,27.27,25.65,24.43,24.02,24.02,24.43,30.12,35.01,38.67,39.08,39.08,38.67,38.67,38.67,37.86,38.27,40.30,40.71,40.71,39.08,37.04,33.79,29.72,25.65,1
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
28,0.53,0.50,0.48,0.47,0.47,0.48,0.59,0.68,0.75,0.76,0.76,0.75,0.75,0.75,0.74,0.75,0.79,0.79,0.79,0.76,0.72,0.66,0.58,0.50,1
29,70.12,65.93,62.79,61.74,61.74,62.79,77.44,90.00,99.42,100.47,100.47,99.42,99.42,99.42,97.33,98.37,103.60,104.65,104.65,100.47,95.23,86.86,76.40,65.93,1
30,39.65,37.28,35.51,34.91,34.91,35.51,43.79,50.89,56.22,56.81,56.81,56.22,56.22,56.22,55.03,55.63,58.58,59.18,59.18,56.81,53.85,49.12,43.20,37.28,1
