Line,Source,Target,Reactance,Normal Flow Limit (MW),Emergency Flow Limit (MW),Vulnerable?,Zone
1,1,2,0.05750000,99999,99999,1,1
2,1,3,0.16520000,99999,99999,1,1
3,2,4,0.17370000,99999,99999,1,1
4,3,4,0.03790000,99999,99999,1,1
5,2,5,0.19830000,99999,99999,1,1
6,2,6,0.17630000,99999,99999,1,1
7,4,6,0.04140000,99999,99999,1,1
8,5,7,0.11600000,99999,99999,1,1
9,6,7,0.08200000,99999,99999,1,1
10,6,8,0.04200000,99999,99999,1,1
11,6,9,0.20800000,99999,99999,1,1
12,6,10,0.55600000,99999,99999,1,1
13,9,11,0.20800000,99999,99999,0,1
14,9,10,0.11000000,99999,99999,1,1
15,4,12,0.25600000,99999,99999,1,1
16,12,13,0.14000000,99999,99999,0,1
17,12,14,0.25590000,99999,99999,1,1
18,12,15,0.13040000,99999,99999,1,1
19,12,16,0.19870000,99999,99999,1,1
20,14,15,0.19970000,99999,99999,1,1
21,16,17,0.19230000,99999,99999,1,1
22,15,18,0.21850000,99999,99999,1,1
23,18,19,0.12920000,99999,99999,1,1
24,19,20,0.06800000,99999,99999,1,1
25,10,20,0.20900000,99999,99999,1,1
26,10,17,0.08450000,99999,99999,1,1
27,10,21,0.07490000,99999,99999,1,1
28,10,22,0.14990000,99999,99999,1,1
29,21,22,0.02360000,99999,99999,1,1
30,15,23,0.20200000,99999,99999,1,1
31,22,24,0.17900000,99999,99999,1,1
32,23,24,0.27000000,99999,99999,1,1
33,24,25,0.32920000,99999,99999,1,1
34,25,26,0.38000000,99999,99999,0,1
35,25,27,0.20870000,99999,99999,1,1
36,28,27,0.39600000,99999,99999,1,1
37,27,29,0.41530000,99999,99999,1,1
38,27,30,0.60270000,99999,99999,1,1
39,29,30,0.45330000,99999,99999,1,1
40,8,28,0.20000000,99999,99999,1,1
41,6,28,0.05990000,99999,99999,1,1
