Line,Source,Target,Reactance,Normal Flow Limit (MW),Emergency Flow Limit (MW),Vulnerable?,Zone
1,1,2,0.02800000,99999,99999,1,1
2,2,3,0.08500000,99999,99999,1,1
3,3,4,0.03660000,99999,99999,1,1
4,4,5,0.13200000,99999,99999,1,1
5,4,6,0.14800000,99999,99999,1,1
6,6,7,0.10200000,99999,99999,1,1
7,6,8,0.17300000,99999,99999,1,1
8,8,9,0.05050000,99999,99999,1,1
9,9,10,0.16790000,99999,99999,1,1
10,9,11,0.08480000,99999,99999,1,1
11,9,12,0.29500000,99999,99999,1,1
12,9,13,0.15800000,99999,99999,1,1
13,13,14,0.04340000,99999,99999,1,1
14,13,15,0.08690000,99999,99999,1,1
15,1,15,0.09100000,99999,99999,1,1
16,1,16,0.20600000,99999,99999,1,1
17,1,17,0.10800000,99999,99999,1,1
18,3,15,0.05300000,99999,99999,1,1
19,4,18,0.55500000,99999,99999,1,1
20,4,18,0.43000000,99999,99999,1,1
21,5,6,0.06410000,99999,99999,1,1
22,7,8,0.07120000,99999,99999,1,1
23,10,12,0.12620000,99999,99999,1,1
24,11,13,0.07320000,99999,99999,1,1
25,12,13,0.05800000,99999,99999,1,1
26,12,16,0.08130000,99999,99999,1,1
27,12,17,0.17900000,99999,99999,1,1
28,14,15,0.05470000,99999,99999,1,1
29,18,19,0.68500000,99999,99999,1,1
30,19,20,0.43400000,99999,99999,1,1
31,21,20,0.77670000,99999,99999,1,1
32,21,22,0.11700000,99999,99999,1,1
33,22,23,0.01520000,99999,99999,1,1
34,23,24,0.25600000,99999,99999,1,1
35,24,25,1.18200000,99999,99999,1,1
36,24,25,1.23000000,99999,99999,1,1
37,24,26,0.04730000,99999,99999,1,1
38,26,27,0.25400000,99999,99999,1,1
39,27,28,0.09540000,99999,99999,1,1
40,28,29,0.05870000,99999,99999,1,1
41,7,29,0.06480000,99999,99999,1,1
42,25,30,0.20200000,99999,99999,1,1
43,30,31,0.49700000,99999,99999,1,1
44,31,32,0.75500000,99999,99999,1,1
45,32,33,0.03600000,99999,99999,0,1
46,34,32,0.95300000,99999,99999,1,1
47,34,35,0.07800000,99999,99999,1,1
48,35,36,0.05370000,99999,99999,1,1
49,36,37,0.03660000,99999,99999,1,1
50,37,38,0.10090000,99999,99999,1,1
51,37,39,0.03790000,99999,99999,1,1
52,36,40,0.04660000,99999,99999,1,1
53,22,38,0.02950000,99999,99999,1,1
54,11,41,0.74900000,99999,99999,1,1
55,41,42,0.35200000,99999,99999,1,1
56,41,43,0.41200000,99999,99999,1,1
57,38,44,0.05850000,99999,99999,1,1
58,15,45,0.10420000,99999,99999,1,1
59,14,46,0.07350000,99999,99999,1,1
60,46,47,0.06800000,99999,99999,1,1
61,47,48,0.02330000,99999,99999,1,1
62,48,49,0.12900000,99999,99999,1,1
63,49,50,0.12800000,99999,99999,1,1
64,50,51,0.22000000,99999,99999,1,1
65,10,51,0.07120000,99999,99999,1,1
66,13,49,0.19100000,99999,99999,1,1
67,29,52,0.18700000,99999,99999,1,1
68,52,53,0.09840000,99999,99999,1,1
69,53,54,0.23200000,99999,99999,1,1
70,54,55,0.22650000,99999,99999,1,1
71,11,43,0.15300000,99999,99999,1,1
72,44,45,0.12420000,99999,99999,1,1
73,40,56,1.19500000,99999,99999,1,1
74,56,41,0.54900000,99999,99999,1,1
75,56,42,0.35400000,99999,99999,1,1
76,39,57,1.35500000,99999,99999,1,1
77,57,56,0.26000000,99999,99999,1,1
78,38,49,0.17700000,99999,99999,1,1
79,38,48,0.04820000,99999,99999,1,1
80,9,55,0.12050000,99999,99999,1,1
