Bus,Demand 1 (MW),Demand 2 (MW),Demand 3 (MW),Demand 4 (MW),Demand 5 (MW),Demand 6 (MW),Demand 7 (MW),Demand 8 (MW),Demand 9 (MW),Demand 10 (MW),Demand 11 (MW),Demand 12 (MW),Demand 13 (MW),Demand 14 (MW),Demand 15 (MW),Demand 16 (MW),Demand 17 (MW),Demand 18 (MW),Demand 19 (MW),Demand 20 (MW),Demand 21 (MW),Demand 22 (MW),Demand 23 (MW),Demand 24 (MW),Zone
1,28.52,26.82,25.54,25.11,25.11,25.54,31.50,36.60,40.44,40.86,40.86,40.44,40.44,40.44,39.58,40.01,42.14,42.56,42.56,40.86,38.73,35.33,31.07,26.82,1
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
3,192.10,180.63,172.03,169.17,169.17,172.03,212.17,246.58,272.39,275.25,275.25,272.39,272.39,272.39,266.65,269.52,283.85,286.72,286.72,275.25,260.92,237.98,209.31,180.63,1
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
5,40.58,38.16,36.34,35.74,35.74,36.34,44.82,52.09,57.54,58.15,58.15,57.54,57.54,57.54,56.33,56.94,59.97,60.57,60.57,58.15,55.12,50.27,44.22,38.16,1
6,28.67,26.96,25.68,25.25,25.25,25.68,31.67,36.81,40.66,41.09,41.09,40.66,40.66,40.66,39.80,40.23,42.37,42.80,42.80,41.09,38.95,35.52,31.24,26.96,1
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
10,151.52,142.47,135.69,133.43,133.43,135.69,167.35,194.49,214.84,217.10,217.10,214.84,214.84,214.84,210.32,212.58,223.89,226.15,226.15,217.10,205.80,187.70,165.09,142.47,1
11,45.21,42.51,40.48,39.81,39.81,40.48,49.93,58.02,64.10,64.77,64.77,64.10,64.10,64.10,62.75,63.42,66.80,67.47,67.47,64.77,61.40,56.00,49.25,42.51,1
12,21.78,20.48,19.50,19.18,19.18,19.50,24.06,27.96,30.88,31.21,31.21,30.88,30.88,30.88,30.23,30.56,32.18,32.51,32.51,31.21,29.58,26.98,23.73,20.48,1
13,139.06,130.76,124.53,122.46,122.46,124.53,153.59,178.50,197.18,199.25,199.25,197.18,197.18,197.18,193.03,195.10,205.48,207.56,207.56,199.25,188.88,172.27,151.52,130.76,1
14,59.39,55.84,53.18,52.30,52.30,53.18,65.59,76.23,84.20,85.09,85.09,84.20,84.20,84.20,82.43,83.32,87.75,88.64,88.64,85.09,80.66,73.57,64.70,55.84,1
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
