Line,Source,Target,Reactance,Normal Flow Limit (MW),Emergency Flow Limit (MW),Vulnerable?,Zone
1,1,2,0.00080000,8659,8659,1,1
2,1,2,0.00080000,99999,99999,1,1
3,1,3,-0.17180000,99999,99999,1,1
4,1,4,-0.17180000,99999,99999,1,1
5,1,5,-0.16970000,99999,99999,1,1
6,1,6,0.02090000,8659,8659,1,1
7,1,33,0.00600000,750,750,1,1
8,1,93,0.01380000,99999,99999,0,1
9,1,93,0.01380000,99999,99999,0,1
10,2,6,0.02090000,8659,8659,1,1
11,2,113,0.01480000,99999,99999,0,1
12,2,114,0.01450000,99999,99999,0,1
13,3,33,0.02210000,99999,99999,1,1
14,4,33,0.02210000,99999,99999,1,1
15,5,33,0.02190000,99999,99999,1,1
16,6,7,0.01390000,8659,8659,1,1
17,6,9,0.00170000,8659,8659,1,1
18,6,10,0.00170000,8659,8659,1,1
19,6,12,0.00210000,8659,8659,1,1
20,6,12,0.00210000,8659,8659,1,1
21,7,8,-0.15160000,99999,99999,1,1
22,7,66,0.00970000,750,750,1,1
23,7,104,0.01900000,99999,99999,0,1
24,7,104,0.01740000,99999,99999,0,1
25,8,66,0.02990000,99999,99999,1,1
26,8,66,0.02210000,99999,99999,1,1
27,9,11,-0.30620000,99999,99999,1,1
28,9,69,0.01880000,750,750,1,1
29,10,32,-0.30410000,99999,99999,1,1
30,10,69,0.01870000,750,750,1,1
31,11,69,0.02620000,99999,99999,1,1
32,12,13,-0.30990000,99999,99999,1,1
33,12,13,-0.31600000,99999,99999,1,1
34,12,13,-0.31600000,99999,99999,1,1
35,12,14,0.00910000,8659,8659,1,1
36,12,14,0.00910000,8659,8659,1,1
37,12,25,0.00550000,8659,8659,1,1
38,12,25,0.00550000,8659,8659,1,1
39,12,72,0.01890000,750,750,1,1
40,12,72,0.01900000,750,750,1,1
41,12,72,0.01900000,99999,99999,1,1
42,13,72,0.02600000,99999,99999,1,1
43,13,72,0.02620000,99999,99999,1,1
44,13,72,0.02600000,99999,99999,1,1
45,14,15,-0.39960000,99999,99999,1,1
46,14,16,-0.16690000,99999,99999,1,1
47,14,17,0.03670000,8659,8659,1,1
48,14,17,0.03670000,8659,8659,1,1
49,14,58,0.00970000,750,750,1,1
50,15,58,0.02550000,99999,99999,1,1
51,16,58,0.02200000,99999,99999,1,1
52,17,18,-1.31500000,99999,99999,1,1
53,17,19,-0.84700000,99999,99999,1,1
54,17,20,-0.86760000,99999,99999,1,1
55,17,21,-0.16150000,99999,99999,1,1
56,17,22,0.02760000,8659,8659,1,1
57,17,59,0.00710000,750,750,1,1
58,18,59,0.02980000,99999,99999,1,1
59,19,59,0.06290000,99999,99999,1,1
60,20,59,0.06380000,99999,99999,1,1
61,21,59,0.03290000,99999,99999,1,1
62,22,23,-0.37870000,99999,99999,1,1
63,22,24,0.02080000,8659,8659,1,1
64,22,30,-0.30660000,99999,99999,1,1
65,22,78,0.02680000,99999,99999,1,1
66,22,83,0.03490000,99999,99999,1,1
67,23,83,0.05950000,99999,99999,1,1
68,23,83,0.05970000,99999,99999,1,1
69,24,76,0.00880000,99999,99999,1,1
70,24,77,-0.06030000,99999,99999,1,1
