Bus,Demand 1 (MW),Demand 2 (MW),Demand 3 (MW),Demand 4 (MW),Demand 5 (MW),Demand 6 (MW),Demand 7 (MW),Demand 8 (MW),Demand 9 (MW),Demand 10 (MW),Demand 11 (MW),Demand 12 (MW),Demand 13 (MW),Demand 14 (MW),Demand 15 (MW),Demand 16 (MW),Demand 17 (MW),Demand 18 (MW),Demand 19 (MW),Demand 20 (MW),Demand 21 (MW),Demand 22 (MW),Demand 23 (MW),Demand 24 (MW),Zone
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
2,9.70,9.12,8.69,8.55,8.55,8.69,10.72,12.46,13.76,13.90,13.90,13.76,13.76,13.76,13.47,13.61,14.34,14.48,14.48,13.90,13.18,12.02,10.57,9.12,1
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
5,0.16,0.15,0.15,0.14,0.14,0.15,0.18,0.21,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.25,0.25,0.24,0.22,0.20,0.18,0.15,1
6,4.61,4.33,4.12,4.06,4.06,4.12,5.09,5.91,6.53,6.60,6.60,6.53,6.53,6.53,6.39,6.46,6.80,6.87,6.87,6.60,6.25,5.70,5.02,4.33,1
7,183.88,172.90,164.67,161.92,161.92,164.67,203.09,236.02,260.72,263.47,263.47,260.72,260.72,260.72,255.24,257.98,271.70,274.45,274.45,263.47,249.75,227.79,200.35,172.90,1
8,56.41,53.05,50.52,49.68,49.68,50.52,62.31,72.41,79.99,80.83,80.83,79.99,79.99,79.99,78.31,79.15,83.36,84.20,84.20,80.83,76.62,69.89,61.47,53.05,1
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
10,40.38,37.97,36.16,35.56,35.56,36.16,44.60,51.83,57.25,57.85,57.85,57.25,57.25,57.25,56.05,56.65,59.66,60.27,60.27,57.85,54.84,50.02,43.99,37.97,1
11,27.96,26.29,25.04,24.62,24.62,25.04,30.88,35.89,39.64,40.06,40.06,39.64,39.64,39.64,38.81,39.23,41.31,41.73,41.73,40.06,37.98,34.64,30.46,26.29,1
