Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,744,1,0.01061500,99999,0,1
2,1091,2,0.01746200,540,0,2
3,50,3,0.00012500,737,0,1
4,1042,3,0.00187700,2487,1,1
5,2000,3,0.00323400,1841,1,1
6,49,3,0.00012500,737,0,1
7,1264,4,0.10052900,99999,1,1
8,1798,4,0.21138800,99999,1,1
9,1938,4,0.26757400,99999,1,1
10,1609,5,0.01975300,99999,0,1
11,1609,6,0.00444400,99999,0,1
12,222,7,0.04106700,446,1,2
13,1048,7,0.00436900,558,1,2
14,1253,8,0.13756600,99999,1,1
15,1444,8,0.08893900,99999,1,1
16,1444,8,0.08009600,99999,1,1
17,1610,9,0.03408900,99999,1,1
18,164,10,0.00201500,288,1,1
19,456,11,0.03399500,289,1,1
20,514,11,0.01983200,255,1,1
21,1141,10,0.03506000,288,1,1
22,1179,10,0.03286900,255,1,1
23,2082,11,0.00873100,99999,0,1
24,2134,10,0.00312100,99999,0,1
25,2423,11,0.01613800,288,1,1
26,166,12,0.00090700,1034,0,1
27,496,12,0.00672600,1786,1,1
28,964,12,0.00801200,2462,1,1
29,1367,12,0.00918000,1644,1,1
30,165,13,0.00074100,1095,0,1
31,964,12,0.00801900,2462,1,1
32,964,13,0.01312300,1433,0,1
33,185,14,0.00067200,331,0,2
34,1725,14,0.00008900,268,0,2
35,979,15,0.09095500,99999,0,1
36,549,16,0.18090200,99999,1,1
37,1045,16,0.18191000,99999,1,1
38,534,17,0.02862200,455,1,1
39,533,17,0.02858300,455,1,1
40,170,18,0.00051400,99999,0,2
41,1174,19,0.00215300,452,1,2
42,1489,19,0.00086900,481,1,2
43,2234,20,0.00252000,99999,0,1
44,1472,21,0.00083000,268,1,2
45,1533,21,0.00061200,268,1,2
46,64,22,0.01175300,424,1,2
47,2239,22,0.01161500,290,1,2
48,691,23,0.22675700,99999,0,1
49,1019,23,0.40529100,99999,1,1
50,1416,23,0.16156600,99999,1,1
51,979,24,0.11867000,99999,0,1
52,1251,24,0.13983400,99999,1,1
53,1981,24,0.16125000,99999,1,1
54,2253,24,0.01662900,99999,1,1
55,1617,25,0.00077000,379,0,2
