Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,7.00,35.00,24.50,24.50,24.50,24.50,0,1507,0,1,1,475.67,39.21,42.69,50.39,9.33,9.33,9.33,1000.00
2,7.22,36.10,25.27,25.27,25.27,25.27,1,1427,0,1,1,539.98,45.99,51.46,59.86,9.63,9.63,9.63,1300.00
3,9.20,46.00,32.20,32.20,32.20,32.20,1,894,0,2,2,596.21,34.19,37.17,43.40,12.27,12.27,12.27,1800.00
4,0.00,4.00,2.80,2.80,2.80,2.80,1,1166,0,2,2,0.00,56.36,61.16,71.81,1.33,1.33,1.33,0.00
5,1.40,7.00,4.90,4.90,4.90,4.90,1,1166,0,4,4,125.52,58.13,65.25,74.76,1.87,1.87,1.87,0.00
6,2.40,12.00,8.40,8.40,8.40,8.40,1,1165,0,2,2,201.44,32.39,34.84,39.20,3.20,3.20,3.20,0.00
7,0.00,2.70,1.89,1.89,1.89,1.89,1,176,0,2,2,0.00,34.32,39.33,43.81,0.90,0.90,0.90,0.00
8,2.60,13.00,9.10,9.10,9.10,9.10,1,1435,0,2,2,189.33,43.94,48.50,55.37,3.47,3.47,3.47,0.00
9,10.00,50.00,35.00,35.00,35.00,35.00,1,433,0,1,1,776.90,50.70,55.42,62.62,13.33,13.33,13.33,2500.00
10,3.20,16.00,11.20,11.20,11.20,11.20,1,1328,0,1,1,263.89,49.53,52.27,58.25,4.27,4.27,4.27,1200.00
11,12.40,62.00,43.40,43.40,43.40,43.40,0,544,0,1,1,992.89,34.63,38.94,45.02,16.53,16.53,16.53,2300.00
12,3.60,18.00,12.60,12.60,12.60,12.60,1,1155,0,4,4,205.34,53.21,57.37,65.65,4.80,4.80,4.80,1000.00
