Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,133.90,204.60,143.22,143.22,143.22,143.22,1,72,0,1,1,9098.90,20.28,22.51,25.47,23.57,23.57,23.57,31200.00
2,359.90,549.90,384.93,384.93,384.93,384.93,1,80,0,2,2,26916.72,34.17,37.71,45.71,63.33,63.33,63.33,98500.00
3,7.60,11.60,8.12,8.12,8.12,8.12,1,81,0,2,2,492.52,33.17,36.27,37.65,1.33,1.33,1.33,1700.00
4,410.40,627.00,438.90,438.90,438.90,438.90,1,91,0,1,1,26447.28,37.86,41.22,46.23,72.20,72.20,72.20,113500.00
5,554.40,847.00,592.90,592.90,592.90,592.90,1,95,0,1,1,49706.29,33.30,37.26,45.40,97.53,97.53,97.53,162400.00
6,121.80,1241.50,869.05,869.05,869.05,869.05,1,96,0,2,2,10223.17,40.96,44.53,53.80,373.23,373.23,373.23,37800.00
7,1267.20,1936.00,1355.20,1355.20,1355.20,1355.20,1,101,0,2,2,89881.33,31.38,34.05,40.19,222.93,222.93,222.93,266200.00
8,540.00,825.00,577.50,577.50,577.50,577.50,1,105,0,1,1,39321.43,51.20,57.47,66.85,95.00,95.00,95.00,178600.00
9,280.80,429.00,300.30,300.30,300.30,300.30,1,116,0,2,2,21815.42,54.21,58.31,68.08,49.40,49.40,49.40,69300.00
10,280.80,429.00,300.30,300.30,300.30,300.30,1,117,0,4,4,23155.99,39.21,44.94,52.77,49.40,49.40,49.40,53100.00
11,1080.00,1650.00,1155.00,1155.00,1155.00,1155.00,1,119,0,4,4,86477.65,45.99,50.77,58.17,190.00,190.00,190.00,251300.00
12,424.80,649.00,454.30,454.30,454.30,454.30,1,127,0,1,1,24229.65,34.19,37.37,42.05,74.73,74.73,74.73,122500.00
13,1656.00,2530.00,1771.00,1771.00,1771.00,1771.00,1,130,0,4,4,120473.86,56.36,59.48,66.26,291.33,291.33,291.33,219200.00
14,583.20,891.00,623.70,623.70,623.70,623.70,1,133,0,1,1,42159.02,58.13,65.37,74.64,102.60,102.60,102.60,101800.00
15,648.00,990.00,693.00,693.00,693.00,693.00,1,140,0,4,4,54126.90,32.39,34.92,39.45,114.00,114.00,114.00,211700.00
16,972.00,1485.00,1039.50,1039.50,1039.50,1039.50,1,141,0,2,2,76656.09,34.32,36.88,41.10,171.00,171.00,171.00,186000.00
17,1224.00,1870.00,1309.00,1309.00,1309.00,1309.00,1,142,0,2,2,61179.96,43.94,47.88,55.36,215.33,215.33,215.33,159800.00
18,115.20,176.00,123.20,123.20,123.20,123.20,1,147,0,2,2,7635.64,50.70,57.63,65.95,20.27,20.27,20.27,16400.00
19,201.60,308.00,215.60,215.60,215.60,215.60,1,151,0,1,1,17476.76,49.53,53.24,57.62,35.47,35.47,35.47,37100.00
20,84.60,129.30,90.51,90.51,90.51,90.51,1,172,0,4,4,5550.97,34.63,37.31,41.36,14.90,14.90,14.90,16200.00
21,191.00,291.80,204.26,204.26,204.26,204.26,1,176,0,1,1,12339.09,53.21,59.53,69.55,33.60,33.60,33.60,41000.00
22,191.00,291.80,204.26,204.26,204.26,204.26,1,177,0,1,1,14281.04,41.53,45.17,50.72,33.60,33.60,33.60,67100.00
23,342.70,534.60,374.22,374.22,374.22,374.22,1,186,0,2,2,35123.13,19.16,20.82,24.96,63.97,63.97,63.97,104400.00
24,342.70,534.60,374.22,374.22,374.22,374.22,1,187,0,2,2,20489.25,41.77,45.22,51.42,63.97,63.97,63.97,71800.00
25,347.80,531.30,371.91,371.91,371.91,371.91,1,188,0,4,4,22338.89,41.19,45.67,53.69,61.17,61.17,61.17,106700.00
26,283.00,542.30,379.61,379.61,379.61,379.61,1,189,0,2,2,20161.26,47.48,52.31,62.04,86.43,86.43,86.43,18500.00
27,371.50,600.60,420.42,420.42,420.42,420.42,1,190,0,2,2,27129.21,44.88,48.32,56.49,76.37,76.37,76.37,66100.00
28,370.80,599.50,419.65,419.65,419.65,419.65,1,191,0,2,2,27898.15,23.44,26.28,31.54,76.23,76.23,76.23,63600.00
29,111.60,247.50,173.25,173.25,173.25,173.25,1,192,0,1,1,7813.05,61.36,67.52,69.83,45.30,45.30,45.30,34400.00
30,64.80,143.00,100.10,100.10,100.10,100.10,1,194,0,1,1,5406.79,32.78,36.75,43.10,26.07,26.07,26.07,22100.00
31,108.00,165.00,115.50,115.50,115.50,115.50,1,196,0,1,1,6789.37,50.59,57.99,66.61,19.00,19.00,19.00,17800.00
32,0.00,125.50,87.85,87.85,87.85,87.85,1,223,0,4,4,0.00,52.32,57.58,57.58,41.83,41.83,41.83,0.00
33,77.80,272.80,190.96,190.96,190.96,190.96,1,224,0,4,4,3601.96,41.76,44.51,49.02,65.00,65.00,65.00,12800.00
34,34.60,140.80,98.56,98.56,98.56,98.56,1,225,0,1,1,1778.18,34.50,38.72,43.20,35.40,35.40,35.40,4300.00
35,11.50,17.60,12.32,12.32,12.32,12.32,1,226,0,1,1,706.01,52.34,57.59,64.37,2.03,2.03,2.03,1300.00
36,18.70,28.60,20.02,20.02,20.02,20.02,1,227,0,4,4,1413.75,37.64,41.33,47.47,3.30,3.30,3.30,3900.00
37,39.60,60.50,42.35,42.35,42.35,42.35,1,228,0,2,2,2270.69,51.32,56.39,62.00,6.97,6.97,6.97,8000.00
