Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,692,1,0.01746200,540,0,2
2,27,2,0.00012500,737,0,1
3,661,2,0.00187700,2487,1,1
4,1250,2,0.00323400,1841,1,1
5,28,2,0.00012500,737,0,1
6,138,3,0.04106700,446,1,1
7,663,3,0.00436900,558,1,1
8,1029,4,0.03408900,99999,0,1
9,98,5,0.00201500,288,1,1
10,279,6,0.03399500,289,1,1
11,323,6,0.01983200,255,1,1
12,720,5,0.03506000,288,1,1
13,742,5,0.03286900,255,1,1
14,1308,6,0.00873100,99999,0,1
15,1327,5,0.00312100,99999,0,1
16,1505,6,0.01613800,288,1,1
17,99,8,0.00090700,1034,0,1
18,311,8,0.00672600,1786,1,1
19,612,8,0.00801200,2462,1,1
20,865,8,0.00918000,1644,1,1
21,100,7,0.00074100,1095,0,1
22,612,8,0.00801900,2462,1,1
23,612,7,0.01312300,1433,0,1
24,111,9,0.00067200,331,0,2
25,1110,9,0.00008900,268,0,2
26,340,10,0.02862200,455,1,1
27,339,10,0.02858300,455,1,1
28,104,11,0.00051400,99999,0,2
29,740,12,0.00215300,452,1,2
30,945,12,0.00086900,481,1,2
31,938,13,0.00083000,268,1,2
32,978,13,0.00061200,268,1,2
33,37,14,0.01175300,424,1,2
34,1410,14,0.01161500,290,1,2
35,1035,16,0.00077000,379,0,2
36,1035,15,0.00077000,379,0,2
37,1410,17,0.00343700,290,1,2
38,1414,17,0.03687900,522,1,2
39,37,17,0.00345700,418,1,2
40,853,18,0.01118000,304,1,2
41,1069,18,0.00312100,270,1,2
42,1141,20,0.00014400,701,0,2
43,1141,19,0.00016200,251,0,2
44,955,21,0.00116500,405,0,2
45,469,22,0.03792600,492,1,2
46,1479,22,0.01165400,492,1,2
47,68,23,0.00946200,463,1,2
48,438,23,0.00693300,432,1,2
49,594,23,0.02873300,432,1,2
50,970,23,0.01062700,481,1,2
51,831,24,0.00353600,506,0,1
52,831,24,0.00353600,506,0,1
53,120,25,0.02038500,99999,1,1
54,1461,25,0.04886900,351,1,1
55,1482,25,0.01625700,311,0,1
56,282,26,0.00341700,452,1,2
57,302,26,0.00719800,448,1,2
58,1433,26,0.00243600,348,0,2
59,282,26,0.00345700,356,1,2
60,302,26,0.00724900,540,1,2
61,1432,26,0.00246900,405,0,2
62,302,26,0.00726900,540,1,2
63,828,29,0.01169400,467,1,1
