Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,44.00,45.00,31.50,31.50,31.50,31.50,1,1247,0,4,4,2989.93,32.76,37.14,43.46,0.33,0.33,0.33,7700.00
2,44.00,45.00,31.50,31.50,31.50,31.50,1,1247,0,1,1,3290.74,56.93,62.07,70.99,0.33,0.33,0.33,4600.00
3,4.40,22.00,15.40,15.40,15.40,15.40,1,1334,0,1,1,285.14,37.01,41.51,48.56,5.87,5.87,5.87,1300.00
4,5.00,25.00,17.50,17.50,17.50,17.50,1,88,0,4,4,322.21,55.72,63.73,73.74,6.67,6.67,6.67,0.00
5,4.68,23.40,16.38,16.38,16.38,16.38,1,122,0,2,2,419.60,44.61,47.50,54.00,6.24,6.24,6.24,1200.00
6,4.00,20.00,14.00,14.00,14.00,14.00,1,891,0,1,1,335.74,33.26,36.27,40.89,5.33,5.33,5.33,0.00
7,2.40,12.00,8.40,8.40,8.40,8.40,0,802,0,4,4,170.23,28.59,31.20,37.06,3.20,3.20,3.20,0.00
8,2.80,14.00,9.80,9.80,9.80,9.80,1,802,0,2,2,203.89,27.71,30.74,34.56,3.73,3.73,3.73,0.00
9,2.40,12.00,8.40,8.40,8.40,8.40,0,802,0,4,4,186.46,28.41,31.39,35.17,3.20,3.20,3.20,0.00
10,6.00,30.00,21.00,21.00,21.00,21.00,1,1313,0,1,1,494.79,36.79,41.69,49.81,8.00,8.00,8.00,1600.00
11,2.20,11.00,7.70,7.70,7.70,7.70,1,389,0,4,4,176.16,50.88,53.09,58.47,2.93,2.93,2.93,0.00
12,2.20,11.00,7.70,7.70,7.70,7.70,1,389,0,4,4,125.48,30.94,33.33,41.40,2.93,2.93,2.93,0.00
13,7.00,35.00,24.50,24.50,24.50,24.50,1,958,0,4,4,509.25,35.36,38.47,44.54,9.33,9.33,9.33,1500.00
14,11.08,55.40,38.78,38.78,38.78,38.78,1,842,0,1,1,800.96,34.87,39.27,44.62,14.77,14.77,14.77,1200.00
15,8.40,42.00,29.40,29.40,29.40,29.40,1,904,0,4,4,701.65,56.18,63.10,66.93,11.20,11.20,11.20,1600.00
16,8.40,42.00,29.40,29.40,29.40,29.40,1,904,0,4,4,662.46,31.83,34.92,41.87,11.20,11.20,11.20,2300.00
17,17.40,87.00,60.90,60.90,60.90,60.90,1,1234,0,2,2,869.72,42.45,47.13,52.14,23.20,23.20,23.20,3400.00
18,1.66,8.30,5.81,5.81,5.81,5.81,1,166,0,2,2,110.03,26.89,29.77,32.72,2.21,2.21,2.21,0.00
19,0.00,4.00,2.80,2.80,2.80,2.80,1,440,0,1,1,0.00,43.88,47.79,53.98,1.33,1.33,1.33,0.00
20,2.60,13.00,9.10,9.10,9.10,9.10,1,233,0,4,4,170.60,55.92,62.01,75.86,3.47,3.47,3.47,0.00
21,2.60,13.00,9.10,9.10,9.10,9.10,1,233,0,2,2,167.97,48.70,53.10,58.39,3.47,3.47,3.47,0.00
22,2.60,13.00,9.10,9.10,9.10,9.10,1,233,0,2,2,194.40,43.35,49.99,55.23,3.47,3.47,3.47,0.00
23,2.60,13.00,9.10,9.10,9.10,9.10,1,233,0,2,2,266.47,46.49,52.78,62.68,3.47,3.47,3.47,0.00
24,10.00,50.00,35.00,35.00,35.00,35.00,1,264,0,2,2,597.88,38.17,41.89,47.15,13.33,13.33,13.33,2200.00
25,1.60,8.00,5.60,5.60,5.60,5.60,1,868,0,4,4,102.77,45.00,50.29,56.51,2.13,2.13,2.13,0.00
26,1.60,8.00,5.60,5.60,5.60,5.60,1,868,0,4,4,113.99,53.69,61.87,68.99,2.13,2.13,2.13,0.00
27,10.80,54.00,37.80,37.80,37.80,37.80,0,860,0,4,4,788.68,48.95,53.68,62.68,14.40,14.40,14.40,2000.00
28,6.00,30.00,21.00,21.00,21.00,21.00,1,44,0,1,1,451.43,46.47,50.04,57.72,8.00,8.00,8.00,1900.00
29,2.76,13.80,9.66,9.66,9.66,9.66,1,786,0,2,2,193.23,34.32,38.03,41.97,3.68,3.68,3.68,0.00
30,8.28,41.40,28.98,28.98,28.98,28.98,1,349,0,1,1,690.87,34.20,38.73,46.18,11.04,11.04,11.04,2400.00
31,26.00,130.00,91.00,91.00,91.00,91.00,1,97,0,2,2,1634.48,32.49,34.59,39.81,34.67,34.67,34.67,7300.00
32,4.20,21.00,14.70,14.70,14.70,14.70,1,690,0,4,4,259.09,50.76,55.65,66.35,5.60,5.60,5.60,1000.00
33,0.00,0.00,0.00,0.00,0.00,0.00,0,956,0,1,1,0.00,33.79,36.56,45.43,0.00,0.00,0.00,0.00
34,10.60,53.00,37.10,37.10,37.10,37.10,1,956,0,4,4,544.76,58.79,64.82,74.61,14.13,14.13,14.13,1700.00
35,11.00,55.00,38.50,38.50,38.50,38.50,1,1094,0,2,2,675.32,52.60,55.89,60.45,14.67,14.67,14.67,1400.00
36,5.40,27.00,18.90,18.90,18.90,18.90,1,880,0,2,2,408.25,43.10,46.14,55.11,7.20,7.20,7.20,1600.00
37,5.40,27.00,18.90,18.90,18.90,18.90,1,880,0,2,2,309.64,41.06,47.85,55.06,7.20,7.20,7.20,0.00
38,1.20,6.00,4.20,4.20,4.20,4.20,0,57,0,1,1,85.44,42.48,46.00,52.73,1.60,1.60,1.60,0.00
39,5.06,25.30,17.71,17.71,17.71,17.71,1,81,0,4,4,300.39,26.06,28.18,32.34,6.75,6.75,6.75,0.00
40,10.40,52.00,36.40,36.40,36.40,36.40,1,466,0,2,2,762.62,33.31,37.17,45.04,13.87,13.87,13.87,2100.00
41,11.60,58.00,40.60,40.60,40.60,40.60,1,1202,0,4,4,538.31,34.33,36.77,41.49,15.47,15.47,15.47,1700.00
42,12.40,62.00,43.40,43.40,43.40,43.40,1,348,0,4,4,843.26,36.18,40.35,49.21,16.53,16.53,16.53,1900.00
43,15.60,78.00,54.60,54.60,54.60,54.60,1,463,0,2,2,851.45,30.53,34.36,40.92,20.80,20.80,20.80,3400.00
44,2.20,11.00,7.70,7.70,7.70,7.70,1,1298,0,4,4,132.64,29.35,32.78,37.29,2.93,2.93,2.93,0.00
45,0.00,2.50,1.75,1.75,1.75,1.75,1,1298,0,1,1,0.00,26.68,28.81,33.57,0.83,0.83,0.83,0.00
46,4.70,23.50,16.45,16.45,16.45,16.45,1,199,0,4,4,342.46,30.14,32.47,38.22,6.27,6.27,6.27,1100.00
47,7.80,39.00,27.30,27.30,27.30,27.30,1,988,0,4,4,575.48,36.22,41.21,45.45,10.40,10.40,10.40,2300.00
48,5.52,27.60,19.32,19.32,19.32,19.32,1,14,0,2,2,344.79,47.65,52.53,57.08,7.36,7.36,7.36,1000.00
49,4.80,24.00,16.80,16.80,16.80,16.80,1,14,0,1,1,351.90,40.60,45.86,54.89,6.40,6.40,6.40,1500.00
50,200.00,670.00,469.00,469.00,469.00,469.00,1,1609,0,2,2,16699.48,46.19,51.54,57.42,156.67,156.67,156.67,21700.00
51,140.00,700.00,490.00,490.00,490.00,490.00,1,1610,0,1,1,9897.83,35.15,38.19,40.87,186.67,186.67,186.67,24900.00
52,5.40,27.00,18.90,18.90,18.90,18.90,1,1611,0,1,1,391.32,37.19,40.86,46.22,7.20,7.20,7.20,0.00
53,17.20,86.00,60.20,60.20,60.20,60.20,1,1612,0,2,2,1201.96,44.07,47.23,52.05,22.93,22.93,22.93,4100.00
54,9.80,49.00,34.30,34.30,34.30,34.30,1,1613,0,1,1,784.47,50.25,55.06,65.51,13.07,13.07,13.07,1800.00
55,6.40,32.00,22.40,22.40,22.40,22.40,1,1614,0,1,1,532.94,42.55,45.57,48.75,8.53,8.53,8.53,0.00
56,6.40,32.00,22.40,22.40,22.40,22.40,1,1615,0,4,4,389.17,40.88,46.10,54.27,8.53,8.53,8.53,1000.00
57,6.40,32.00,22.40,22.40,22.40,22.40,1,1616,0,4,4,348.86,40.71,45.43,54.35,8.53,8.53,8.53,1300.00
58,6.40,32.00,22.40,22.40,22.40,22.40,1,1617,0,2,2,449.42,34.27,38.78,41.75,8.53,8.53,8.53,1500.00
59,18.40,92.00,64.40,64.40,64.40,64.40,1,1618,0,2,2,1427.54,52.29,58.78,66.42,24.53,24.53,24.53,4200.00
60,18.40,92.00,64.40,64.40,64.40,64.40,1,1619,0,4,4,1166.46,30.38,33.09,40.40,24.53,24.53,24.53,5600.00
61,255.07,945.08,661.56,661.56,661.56,661.56,1,1620,0,2,2,20055.08,55.26,59.57,65.83,230.00,230.00,230.00,87600.00
62,288.05,978.04,684.63,684.63,684.63,684.63,1,1621,0,1,1,20134.60,48.27,52.26,64.92,230.00,230.00,230.00,40000.00
63,256.08,976.08,683.26,683.26,683.26,683.26,1,1622,0,2,2,18053.66,49.12,55.54,67.35,240.00,240.00,240.00,38700.00
64,253.07,943.08,660.16,660.16,660.16,660.16,1,1623,0,4,4,19411.01,38.73,43.05,46.30,230.00,230.00,230.00,70500.00
65,156.00,252.00,176.40,176.40,176.40,176.40,1,1624,0,2,2,12250.63,46.34,51.11,58.71,32.00,32.00,32.00,33200.00
66,154.00,250.00,175.00,175.00,175.00,175.00,1,1625,0,1,1,9307.96,24.69,27.78,33.86,32.00,32.00,32.00,24800.00
67,154.00,250.00,175.00,175.00,175.00,175.00,1,1626,0,4,4,10743.82,27.09,29.03,33.35,32.00,32.00,32.00,33600.00
68,122.00,305.00,213.50,213.50,213.50,213.50,1,1627,0,1,1,5728.83,34.74,37.99,42.42,61.00,61.00,61.00,16000.00
69,89.00,155.00,108.50,108.50,108.50,108.50,1,1628,0,2,2,5649.30,28.68,32.48,32.69,22.00,22.00,22.00,22300.00
70,11.60,58.00,40.60,40.60,40.60,40.60,1,1629,0,4,4,670.68,35.00,37.09,43.04,15.47,15.47,15.47,1500.00
71,11.60,58.00,40.60,40.60,40.60,40.60,1,1630,0,4,4,657.42,32.72,35.15,42.68,15.47,15.47,15.47,2900.00
72,11.60,58.00,40.60,40.60,40.60,40.60,1,1631,0,1,1,936.66,34.17,38.65,43.34,15.47,15.47,15.47,2700.00
73,11.60,58.00,40.60,40.60,40.60,40.60,1,1632,0,1,1,895.94,43.29,47.45,55.74,15.47,15.47,15.47,2400.00
74,11.60,58.00,40.60,40.60,40.60,40.60,1,1633,0,1,1,892.04,31.73,32.96,38.56,15.47,15.47,15.47,3200.00
75,133.00,263.00,184.10,184.10,184.10,184.10,1,1634,0,4,4,10642.05,34.63,37.20,43.88,43.33,43.33,43.33,35800.00
76,8.99,44.96,31.47,31.47,31.47,31.47,1,1635,0,4,4,584.07,34.37,39.18,42.55,11.99,11.99,11.99,1300.00
77,6.40,32.00,22.40,22.40,22.40,22.40,1,1636,0,2,2,408.17,49.18,54.68,68.43,8.53,8.53,8.53,1900.00
78,266.29,936.29,655.40,655.40,655.40,655.40,1,1637,0,1,1,16187.32,39.21,43.28,48.69,223.33,223.33,223.33,20400.00
79,272.82,942.82,659.97,659.97,659.97,659.97,1,1638,0,4,4,17116.14,37.21,40.43,46.17,223.33,223.33,223.33,47600.00
80,274.28,924.28,647.00,647.00,647.00,647.00,1,1639,0,1,1,19810.96,38.70,42.11,45.28,216.67,216.67,216.67,58200.00
81,272.80,922.80,645.96,645.96,645.96,645.96,1,1640,0,2,2,19235.99,26.03,28.70,33.02,216.67,216.67,216.67,26100.00
82,318.00,1308.00,915.60,915.60,915.60,915.60,1,1641,0,2,2,18578.45,37.55,40.08,46.93,330.00,330.00,330.00,68100.00
83,318.00,1308.00,915.60,915.60,915.60,915.60,1,1642,0,4,4,24857.13,48.30,55.75,69.83,330.00,330.00,330.00,88500.00
84,7.00,35.00,24.50,24.50,24.50,24.50,1,1643,0,4,4,520.35,42.41,47.25,53.47,9.33,9.33,9.33,1300.00
85,7.00,35.00,24.50,24.50,24.50,24.50,1,1644,0,2,2,560.75,30.84,33.78,35.99,9.33,9.33,9.33,1300.00
86,7.00,35.00,24.50,24.50,24.50,24.50,1,1645,0,1,1,617.74,17.75,19.12,22.13,9.33,9.33,9.33,1600.00
87,7.00,35.00,24.50,24.50,24.50,24.50,1,1646,0,1,1,420.17,33.37,35.89,40.95,9.33,9.33,9.33,1600.00
88,7.00,35.00,24.50,24.50,24.50,24.50,1,1647,0,4,4,549.54,36.79,42.50,49.21,9.33,9.33,9.33,1700.00
89,7.00,35.00,24.50,24.50,24.50,24.50,1,1648,0,2,2,480.79,44.98,49.56,56.01,9.33,9.33,9.33,0.00
90,7.39,36.97,25.88,25.88,25.88,25.88,1,1649,0,4,4,584.73,43.80,50.17,56.69,9.86,9.86,9.86,1400.00
91,7.39,36.97,25.88,25.88,25.88,25.88,1,1650,0,4,4,531.21,29.33,31.10,34.48,9.86,9.86,9.86,1600.00
92,7.39,36.97,25.88,25.88,25.88,25.88,1,1651,0,2,2,677.62,42.55,45.98,52.32,9.86,9.86,9.86,0.00
93,7.39,36.97,25.88,25.88,25.88,25.88,1,1652,0,2,2,508.81,61.11,68.07,82.43,9.86,9.86,9.86,1500.00
94,7.39,36.97,25.88,25.88,25.88,25.88,1,1653,0,1,1,665.37,33.66,37.12,41.88,9.86,9.86,9.86,2000.00
95,7.39,36.97,25.88,25.88,25.88,25.88,1,1654,0,2,2,519.49,53.69,64.33,76.75,9.86,9.86,9.86,1500.00
96,4.00,20.00,14.00,14.00,14.00,14.00,1,1655,0,1,1,311.81,30.29,33.13,37.55,5.33,5.33,5.33,0.00
97,6.20,30.98,21.69,21.69,21.69,21.69,1,1656,0,1,1,441.32,46.54,52.19,60.43,8.26,8.26,8.26,1600.00
98,6.20,30.98,21.69,21.69,21.69,21.69,1,1657,0,2,2,387.59,28.28,30.85,33.96,8.26,8.26,8.26,1300.00
99,6.20,30.98,21.69,21.69,21.69,21.69,1,1658,0,2,2,470.27,39.97,44.10,52.38,8.26,8.26,8.26,1200.00
100,6.20,30.98,21.69,21.69,21.69,21.69,1,1659,0,2,2,443.47,32.54,35.23,40.01,8.26,8.26,8.26,1000.00
101,6.20,30.98,21.69,21.69,21.69,21.69,1,1660,0,1,1,336.93,55.98,63.45,74.00,8.26,8.26,8.26,0.00
102,6.20,30.98,21.69,21.69,21.69,21.69,1,1661,0,4,4,399.12,30.87,33.84,37.42,8.26,8.26,8.26,1100.00
103,337.00,1330.00,931.00,931.00,931.00,931.00,1,1662,0,2,2,23479.92,64.03,71.14,77.25,331.00,331.00,331.00,91000.00
104,367.00,1360.00,952.00,952.00,952.00,952.00,1,1663,0,2,2,22280.55,34.11,38.32,44.44,331.00,331.00,331.00,65900.00
105,367.00,1360.00,952.00,952.00,952.00,952.00,1,1664,0,1,1,23918.96,41.08,45.74,54.78,331.00,331.00,331.00,88500.00
106,1.40,1.50,1.05,1.05,1.05,1.05,1,1665,0,1,1,97.49,38.61,42.81,47.52,0.03,0.03,0.03,0.00
