Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,16,1,0.01169000,160,1,2
2,355,1,0.06612000,160,1,2
3,17,2,0.01169000,160,1,2
4,354,2,0.06612000,160,1,2
5,10,3,0.07895000,274,1,1
6,219,3,0.06736000,160,1,1
7,220,3,0.06736000,160,1,1
8,7,4,0.09711000,377,1,2
9,11,4,0.01599000,335,1,2
10,14,4,0.03223000,464,1,2
11,16,4,0.06665000,377,1,2
12,22,4,0.04300000,350,1,2
13,245,4,0.06901000,160,1,2
14,246,4,0.06901000,160,1,2
15,5,6,0.03050000,400,1,1
16,7,5,0.03988000,381,1,1
17,10,5,0.11219000,381,1,1
18,309,5,0.06860000,160,1,1
19,309,5,0.06860000,160,1,1
20,6,8,0.01329000,1316,1,2
21,6,9,0.03675000,1427,1,1
22,15,6,0.03417000,1427,1,2
23,31,6,0.01506000,1385,1,2
24,310,6,0.06188000,250,1,2
25,12,7,0.08742000,381,1,1
26,13,7,0.01326000,335,1,2
27,19,7,0.04070000,323,1,1
28,21,7,0.00651000,160,1,1
29,29,7,0.07498000,362,1,2
30,321,7,0.03368000,250,1,1
31,322,7,0.06775000,160,1,1
32,8,18,0.03977000,1316,1,2
33,332,9,0.05244000,330,1,1
34,171,10,0.10413000,464,1,1
35,346,10,0.06839000,160,1,1
36,347,10,0.06839000,160,1,1
37,16,11,0.03952000,464,1,2
38,17,11,0.03952000,464,1,2
39,111,11,0.06196000,394,1,1
40,352,11,0.06901000,160,1,2
41,353,11,0.06901000,160,1,2
42,140,12,0.10589000,464,1,1
43,359,12,0.06612000,160,1,1
44,360,12,0.06612000,160,1,1
45,29,13,0.08114000,339,1,2
46,365,13,0.06901000,160,1,1
47,366,13,0.06901000,160,1,2
48,17,14,0.02853000,464,1,2
49,367,14,0.06798000,160,1,2
50,368,14,0.06901000,160,1,2
51,18,15,0.04262000,1662,1,2
52,15,165,0.02474000,831,1,1
53,374,15,0.06188000,250,1,1
54,16,18,0.02519000,500,1,2
55,16,73,0.06240000,464,1,2
56,17,18,0.02519000,500,1,2
57,17,74,0.06405000,464,1,2
58,20,18,0.00749000,1427,1,2
59,75,18,0.02369000,1434,1,2
60,18,76,0.01625000,1662,1,2
61,18,101,0.02769000,1662,1,2
62,124,19,0.12366000,464,1,1
63,425,19,0.06818000,160,1,1
64,67,20,0.03425000,831,1,2
65,447,20,0.06119000,250,1,2
66,448,20,0.06119000,250,1,2
67,502,21,0.07107000,160,1,1
68,112,22,0.02618000,362,1,2
69,526,22,0.06901000,160,1,2
70,527,22,0.06901000,160,1,2
71,37,23,0.07031000,394,1,2
72,46,23,0.04868000,457,1,2
73,53,23,0.06558000,274,1,2
74,540,23,0.06680000,160,1,2
75,54,24,0.05727000,160,1,2
76,545,24,0.06715000,160,1,2
77,41,25,0.04145000,274,1,2
78,53,25,0.03368000,464,1,2
79,54,25,0.00140000,464,1,2
80,564,25,0.07808000,160,1,2
81,38,26,0.05196000,160,1,2
82,568,26,0.06616000,160,1,2
83,28,27,0.00010000,876,1,2
84,33,27,0.01494000,160,1,2
85,48,27,0.06215000,362,1,2
86,27,74,0.07231000,304,1,2
87,47,28,0.01798000,464,1,2
88,28,88,0.08161000,362,1,2
89,30,29,0.00010000,876,1,2
90,29,32,0.02097000,500,1,2
91,45,29,0.04021000,464,1,2
92,48,29,0.04283000,464,1,2
93,613,29,0.06775000,160,1,2
94,46,30,0.04021000,464,1,2
95,49,30,0.04541000,362,1,2
96,32,31,0.00010000,1593,1,2
97,39,31,0.02144000,1385,1,2
98,36,32,0.01890000,498,1,2
99,615,33,0.06946000,160,1,2
100,35,34,0.00010000,1593,1,2
101,34,51,0.01406000,1385,1,2
102,183,34,0.02287000,1385,1,2
103,183,35,0.02287000,1385,1,2
104,617,35,0.06052000,250,1,2
105,644,36,0.06052000,250,1,2
106,645,36,0.06156000,250,1,2
107,38,37,0.00010000,876,1,2
108,663,37,0.06616000,160,1,2
109,55,38,0.02076000,394,1,2
110,40,39,0.00010000,1593,1,2
111,682,39,0.05984000,250,0,2
112,44,40,0.01277000,1385,1,2
113,679,40,0.06235000,250,1,2
114,42,41,0.00010000,876,1,2
