Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,110.00,221.00,154.70,154.70,154.70,154.70,1,22,0,4,4,7474.82,34.24,36.52,43.61,37.00,37.00,37.00,14400.00
2,140.00,200.00,140.00,140.00,140.00,140.00,1,23,0,4,4,10470.52,48.17,52.38,58.64,20.00,20.00,20.00,15700.00
3,240.00,370.00,259.00,259.00,259.00,259.00,0,35,0,1,1,15553.35,32.28,35.61,40.82,43.33,43.33,43.33,44100.00
4,240.00,370.00,259.00,259.00,259.00,259.00,0,35,0,4,4,15466.25,26.66,30.46,35.86,43.33,43.33,43.33,43600.00
5,240.00,370.00,259.00,259.00,259.00,259.00,1,35,0,2,2,21517.87,36.91,39.71,46.31,43.33,43.33,43.33,43000.00
6,240.00,370.00,259.00,259.00,259.00,259.00,1,36,0,2,2,20144.17,40.29,43.70,46.58,43.33,43.33,43.33,54500.00
7,240.00,370.00,259.00,259.00,259.00,259.00,1,36,0,1,1,17022.98,51.30,55.50,65.29,43.33,43.33,43.33,36900.00
8,240.00,370.00,259.00,259.00,259.00,259.00,1,37,0,2,2,17476.19,36.26,40.99,50.95,43.33,43.33,43.33,47700.00
9,240.00,370.00,259.00,259.00,259.00,259.00,1,37,0,2,2,18645.65,39.89,44.38,49.82,43.33,43.33,43.33,71300.00
10,240.00,370.00,259.00,259.00,259.00,259.00,1,37,0,1,1,19791.44,42.73,45.52,51.71,43.33,43.33,43.33,81600.00
11,240.00,370.00,259.00,259.00,259.00,259.00,1,38,0,2,2,19217.25,33.98,37.55,43.14,43.33,43.33,43.33,67100.00
12,240.00,370.00,259.00,259.00,259.00,259.00,1,38,0,4,4,13689.07,45.74,51.00,57.92,43.33,43.33,43.33,51500.00
13,240.00,370.00,259.00,259.00,259.00,259.00,1,38,0,1,1,17459.98,38.06,42.39,48.94,43.33,43.33,43.33,44700.00
14,110.00,215.00,150.50,150.50,150.50,150.50,1,55,0,1,1,7951.80,42.02,46.47,54.66,35.00,35.00,35.00,34100.00
15,125.00,220.00,154.00,154.00,154.00,154.00,0,55,0,1,1,10441.15,34.95,38.54,45.42,31.67,31.67,31.67,39700.00
16,125.00,225.00,157.50,157.50,157.50,157.50,0,56,0,2,2,9858.04,69.54,74.32,78.93,33.33,33.33,33.33,39700.00
17,110.00,225.00,157.50,157.50,157.50,157.50,1,56,0,2,2,5498.20,13.70,14.06,16.96,38.33,38.33,38.33,17100.00
18,110.00,225.00,157.50,157.50,157.50,157.50,1,57,0,4,4,7290.97,36.48,40.71,50.01,38.33,38.33,38.33,19400.00
19,120.00,225.00,157.50,157.50,157.50,157.50,1,57,0,1,1,10402.83,35.22,38.85,44.01,35.00,35.00,35.00,21100.00
20,255.00,535.00,374.50,374.50,374.50,374.50,1,58,0,1,1,16731.65,41.62,47.13,54.18,93.33,93.33,93.33,47500.00
21,250.00,560.00,392.00,392.00,392.00,392.00,1,59,0,2,2,16150.65,56.87,60.16,69.34,103.33,103.33,103.33,37100.00
22,129.00,225.00,157.50,157.50,157.50,157.50,1,68,0,4,4,9645.31,48.22,54.36,62.40,32.00,32.00,32.00,20200.00
23,129.00,225.00,157.50,157.50,157.50,157.50,1,69,0,2,2,13221.14,33.33,38.38,40.89,32.00,32.00,32.00,43700.00
24,129.00,225.00,157.50,157.50,157.50,157.50,1,69,0,2,2,7712.62,44.68,48.88,55.33,32.00,32.00,32.00,31500.00
