Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,0.00,12.00,8.40,8.40,8.40,8.40,0,4,0,4,4,0.00,40.37,43.27,48.04,4.00,4.00,4.00,0.00
2,0.00,10.00,7.00,7.00,7.00,7.00,0,4,0,4,4,0.00,41.33,44.93,53.60,3.33,3.33,3.33,0.00
3,0.00,9.10,6.37,6.37,6.37,6.37,1,5,0,1,1,0.00,27.07,30.26,37.19,3.03,3.03,3.03,0.00
4,0.00,28.00,19.60,19.60,19.60,19.60,0,11,0,1,1,0.00,36.77,38.67,44.67,9.33,9.33,9.33,0.00
5,0.00,18.00,12.60,12.60,12.60,12.60,0,11,0,1,1,0.00,32.17,37.42,42.83,6.00,6.00,6.00,0.00
6,0.00,8.20,5.74,5.74,5.74,5.74,1,17,0,1,1,0.00,36.97,41.34,49.37,2.73,2.73,2.73,0.00
7,0.00,1.20,0.84,0.84,0.84,0.84,0,19,0,4,4,0.00,40.90,45.75,54.42,0.40,0.40,0.40,0.00
8,0.00,10.00,7.00,7.00,7.00,7.00,0,22,0,1,1,0.00,42.92,45.28,48.83,3.33,3.33,3.33,0.00
9,0.00,16.10,11.27,11.27,11.27,11.27,0,24,0,4,4,0.00,51.78,57.48,65.81,5.37,5.37,5.37,0.00
10,0.00,35.50,24.85,24.85,24.85,24.85,1,24,0,2,2,0.00,48.83,53.25,59.83,11.83,11.83,11.83,0.00
11,0.00,36.00,25.20,25.20,25.20,25.20,1,25,0,4,4,0.00,51.51,54.37,57.74,12.00,12.00,12.00,0.00
12,0.00,27.20,19.04,19.04,19.04,19.04,0,25,0,4,4,0.00,30.03,32.83,37.99,9.07,9.07,9.07,0.00
13,0.00,8.00,5.60,5.60,5.60,5.60,0,40,0,1,1,0.00,40.46,43.47,46.30,2.67,2.67,2.67,0.00
14,0.00,16.00,11.20,11.20,11.20,11.20,1,47,0,1,1,0.00,33.90,37.63,44.73,5.33,5.33,5.33,0.00
15,0.00,16.00,11.20,11.20,11.20,11.20,0,47,0,1,1,0.00,36.05,41.06,48.39,5.33,5.33,5.33,0.00
16,0.00,23.00,16.10,16.10,16.10,16.10,1,48,0,2,2,0.00,52.00,58.18,71.30,7.67,7.67,7.67,0.00
17,0.00,24.00,16.80,16.80,16.80,16.80,1,48,0,2,2,0.00,35.48,40.23,46.93,8.00,8.00,8.00,0.00
18,0.00,13.00,9.10,9.10,9.10,9.10,0,57,0,4,4,0.00,38.45,41.17,48.67,4.33,4.33,4.33,0.00
19,0.00,24.00,16.80,16.80,16.80,16.80,0,64,0,2,2,0.00,38.46,41.21,45.37,8.00,8.00,8.00,0.00
20,0.00,27.60,19.32,19.32,19.32,19.32,1,64,0,2,2,0.00,40.11,42.64,48.37,9.20,9.20,9.20,0.00
21,0.00,30.04,21.03,21.03,21.03,21.03,1,69,0,1,1,0.00,39.49,44.05,49.54,10.01,10.01,10.01,0.00
22,0.00,23.00,16.10,16.10,16.10,16.10,1,70,0,4,4,0.00,44.20,49.11,56.51,7.67,7.67,7.67,0.00
23,0.00,6.68,4.68,4.68,4.68,4.68,0,85,0,2,2,0.00,51.91,55.38,64.13,2.23,2.23,2.23,0.00
24,0.00,9.20,6.44,6.44,6.44,6.44,1,86,0,1,1,0.00,55.61,62.46,69.30,3.07,3.07,3.07,0.00
25,0.00,46.00,32.20,32.20,32.20,32.20,1,102,0,4,4,0.00,28.67,31.45,37.98,15.33,15.33,15.33,0.00
26,0.00,12.00,8.40,8.40,8.40,8.40,1,122,0,2,2,0.00,40.97,46.03,55.56,4.00,4.00,4.00,0.00
27,0.00,9.00,6.30,6.30,6.30,6.30,1,124,0,2,2,0.00,29.68,32.39,38.60,3.00,3.00,3.00,0.00
28,0.00,26.00,18.20,18.20,18.20,18.20,1,125,0,2,2,0.00,39.55,44.03,50.58,8.67,8.67,8.67,0.00
29,0.00,12.00,8.40,8.40,8.40,8.40,1,125,0,2,2,0.00,37.82,41.12,43.89,4.00,4.00,4.00,0.00
30,0.00,17.00,11.90,11.90,11.90,11.90,1,132,0,1,1,0.00,47.73,52.78,56.44,5.67,5.67,5.67,0.00
31,0.00,4.00,2.80,2.80,2.80,2.80,0,132,0,4,4,0.00,32.71,35.93,43.47,1.33,1.33,1.33,0.00
32,0.00,14.00,9.80,9.80,9.80,9.80,0,132,0,4,4,0.00,42.16,46.11,53.76,4.67,4.67,4.67,0.00
33,0.00,14.00,9.80,9.80,9.80,9.80,0,132,0,1,1,0.00,19.43,21.09,24.53,4.67,4.67,4.67,0.00
34,0.00,18.00,12.60,12.60,12.60,12.60,0,137,0,1,1,0.00,27.51,29.56,35.48,6.00,6.00,6.00,0.00
35,0.00,18.00,12.60,12.60,12.60,12.60,1,137,0,2,2,0.00,52.67,59.33,70.23,6.00,6.00,6.00,0.00
36,0.00,5.30,3.71,3.71,3.71,3.71,0,155,0,4,4,0.00,47.22,53.07,61.28,1.77,1.77,1.77,0.00
37,0.00,17.90,12.53,12.53,12.53,12.53,1,158,0,2,2,0.00,30.45,33.11,38.50,5.97,5.97,5.97,0.00
38,0.00,17.90,12.53,12.53,12.53,12.53,0,158,0,1,1,0.00,49.43,52.66,61.06,5.97,5.97,5.97,0.00
39,0.00,30.00,21.00,21.00,21.00,21.00,0,177,0,1,1,0.00,51.93,58.12,70.17,10.00,10.00,10.00,0.00
40,0.00,11.00,7.70,7.70,7.70,7.70,0,190,0,4,4,0.00,50.36,53.93,61.22,3.67,3.67,3.67,0.00
41,0.00,11.00,7.70,7.70,7.70,7.70,0,190,0,1,1,0.00,50.31,57.26,65.28,3.67,3.67,3.67,0.00
42,0.00,30.00,21.00,21.00,21.00,21.00,0,192,0,1,1,0.00,41.80,46.28,55.58,10.00,10.00,10.00,0.00
43,0.00,23.50,16.45,16.45,16.45,16.45,0,194,0,1,1,0.00,33.75,37.73,40.79,7.83,7.83,7.83,0.00
44,0.00,15.00,10.50,10.50,10.50,10.50,1,196,0,4,4,0.00,57.54,62.80,71.55,5.00,5.00,5.00,0.00
45,0.00,15.00,10.50,10.50,10.50,10.50,1,196,0,4,4,0.00,46.65,51.86,60.14,5.00,5.00,5.00,0.00
46,0.00,11.94,8.36,8.36,8.36,8.36,1,219,0,1,1,0.00,49.96,53.56,56.39,3.98,3.98,3.98,0.00
47,0.00,6.00,4.20,4.20,4.20,4.20,0,226,0,1,1,0.00,52.54,55.77,62.62,2.00,2.00,2.00,0.00
48,0.00,7.50,5.25,5.25,5.25,5.25,1,229,0,1,1,0.00,39.28,44.90,56.56,2.50,2.50,2.50,0.00
49,0.00,33.50,23.45,23.45,23.45,23.45,1,238,0,2,2,0.00,51.40,56.32,64.25,11.17,11.17,11.17,0.00
50,0.00,24.30,17.01,17.01,17.01,17.01,1,238,0,4,4,0.00,38.61,41.67,49.85,8.10,8.10,8.10,0.00
51,0.00,8.00,5.60,5.60,5.60,5.60,0,240,0,2,2,0.00,41.30,45.81,54.01,2.67,2.67,2.67,0.00
52,0.00,36.00,25.20,25.20,25.20,25.20,1,240,0,1,1,0.00,46.73,50.62,59.12,12.00,12.00,12.00,0.00
53,0.00,1.00,0.70,0.70,0.70,0.70,0,248,0,4,4,0.00,35.61,37.65,44.85,0.33,0.33,0.33,0.00
54,0.00,31.00,21.70,21.70,21.70,21.70,0,248,0,1,1,0.00,35.50,38.39,44.16,10.33,10.33,10.33,0.00
55,0.00,31.00,21.70,21.70,21.70,21.70,0,248,0,1,1,0.00,55.44,61.53,72.08,10.33,10.33,10.33,0.00
56,0.00,31.00,21.70,21.70,21.70,21.70,0,248,0,4,4,0.00,38.25,43.76,51.76,10.33,10.33,10.33,0.00
57,0.00,26.00,18.20,18.20,18.20,18.20,0,258,0,2,2,0.00,22.33,24.53,28.81,8.67,8.67,8.67,0.00
58,0.00,26.00,18.20,18.20,18.20,18.20,0,258,0,4,4,0.00,53.95,58.46,71.01,8.67,8.67,8.67,0.00
59,0.00,30.00,21.00,21.00,21.00,21.00,1,260,0,2,2,0.00,32.87,34.88,40.58,10.00,10.00,10.00,0.00
60,0.00,8.00,5.60,5.60,5.60,5.60,1,263,0,4,4,0.00,46.21,50.78,60.16,2.67,2.67,2.67,0.00
61,0.00,12.60,8.82,8.82,8.82,8.82,0,271,0,4,4,0.00,35.09,39.20,45.00,4.20,4.20,4.20,0.00
