Line,Source,Target,Reactance,Flow Limit (MW),Vulnerable?,Zone
1,7,8,0.03050000,400,1,2
2,26,28,0.02519000,500,1,2
3,27,29,0.02519000,500,1,2
4,39,41,0.02097000,500,1,1
5,42,45,0.02097000,500,1,1
6,54,56,0.03000000,400,1,1
7,89,91,0.02444000,330,1,2
8,90,92,0.02469000,330,1,2
9,124,127,0.02875000,400,1,1
10,148,149,0.03050000,400,1,2
11,154,156,0.02300000,500,1,2
12,155,157,0.02300000,500,1,2
13,168,170,0.02375000,500,1,2
14,182,183,0.03093000,400,1,2
15,189,191,0.03000000,500,1,2
16,2726,156,0.00338000,1386,1,2
17,2726,157,0.00338000,1386,1,2
18,2727,67,0.08353100,385,0,1
19,2725,75,0.07065900,412,1,1
20,2725,104,0.07087000,412,1,1
21,126,2724,0.01683700,1386,0,2
22,2728,147,0.01590900,316,1,2
23,2728,148,0.01590900,316,1,2
24,2729,47,0.02287000,831,1,1
25,2729,48,0.02287000,831,1,1
26,81,2723,0.03116200,1386,0,2
27,42,23,0.08114100,339,1,1
28,26,89,0.06240100,453,1,2
29,27,90,0.06405000,427,1,2
30,145,30,0.12365900,316,1,2
31,134,33,0.02618000,301,1,2
32,133,20,0.06196100,385,1,2
33,163,21,0.10589100,316,1,2
34,40,108,0.08161000,314,1,1
35,39,90,0.07231000,324,1,1
36,177,82,0.05948400,316,1,2
37,202,164,0.06828900,324,1,2
38,193,164,0.08909100,358,1,2
39,192,163,0.08702500,383,1,2
40,206,166,0.09716900,269,1,2
41,42,10,0.07497900,351,1,1
42,197,18,0.10413000,316,1,2
43,99,54,0.04380000,457,1,1
44,161,81,0.02056000,1178,1,2
45,44,9,0.01506000,1386,1,1
46,184,149,0.03463000,693,1,2
47,120,56,0.01994000,831,1,1
48,29,92,0.01625000,1386,1,2
49,28,122,0.02769000,1386,1,2
50,25,191,0.02474000,1386,1,2
51,119,63,0.01788000,831,1,1
52,121,63,0.05544000,831,1,1
53,81,31,0.03425000,977,1,2
54,91,28,0.02369000,1178,1,2
55,12,4,0.09711000,427,1,2
56,30,11,0.04070000,316,1,2
57,24,4,0.03222900,383,1,2
58,17,7,0.11219000,383,1,2
59,21,10,0.08741900,316,1,2
60,26,5,0.05051600,377,1,2
61,17,3,0.07895000,274,1,2
62,26,19,0.03952100,440,1,2
63,27,20,0.03952100,440,1,2
64,13,6,0.03988000,316,1,2
65,13,12,0.00020700,316,1,2
66,32,13,0.00651000,316,1,2
67,23,11,0.01326000,385,1,2
68,33,5,0.04300000,301,1,2
69,19,4,0.01599000,324,1,2
70,26,1,0.01169000,633,1,2
71,27,2,0.01169000,633,1,2
72,27,24,0.02853100,392,1,2
73,25,9,0.03418000,831,1,2
74,28,25,0.04262000,1386,1,2
75,14,29,0.03977000,1316,1,2
76,8,15,0.03675000,1150,1,2
77,8,14,0.01329000,1150,1,2
78,31,29,0.00900000,1150,1,2
79,62,58,0.06096900,269,1,1
80,60,55,0.06564100,274,1,1
81,66,34,0.06558100,274,1,1
82,50,34,0.07031000,341,1,1
83,58,42,0.04021100,404,1,1
84,59,43,0.04021100,404,1,1
85,59,34,0.04868000,379,1,1
86,67,51,0.02076000,385,1,1
87,51,38,0.05196100,316,1,1
88,36,55,0.02783100,274,1,1
89,37,35,0.05727100,316,1,1
90,54,37,0.04145000,383,1,1
91,66,36,0.03368000,392,1,1
92,66,65,0.00878100,341,1,1
93,61,42,0.04283100,404,1,1
94,62,43,0.04540900,314,1,1
95,61,39,0.06215100,314,1,1
96,60,40,0.01797900,316,1,1
97,46,39,0.01494000,341,1,1
98,49,45,0.01890000,1150,1,1
99,57,53,0.01277000,1150,1,1
100,41,57,0.02643900,1150,1,1
101,63,57,0.01097000,1393,1,1
102,47,64,0.01406000,1386,1,1
103,52,44,0.02144000,1150,1,1
104,95,124,0.03361600,404,1,1
105,74,105,0.05919400,246,1,1
106,105,93,0.01392600,404,1,1
107,78,84,0.02975200,316,1,1
108,130,129,0.00495900,379,1,1
109,106,130,0.04039300,379,1,1
110,90,130,0.00524800,301,1,1
111,99,118,0.08760300,314,1,1
112,80,112,0.01458700,269,1,1
113,115,100,0.11677700,246,1,1
114,125,73,0.04093000,404,1,1
115,107,89,0.02847100,383,1,1
116,117,78,0.04241700,356,1,1
117,118,77,0.04241700,356,1,1
118,78,75,0.03838800,453,1,1
119,77,72,0.01402900,301,1,1
120,113,77,0.02774800,324,1,1
121,102,71,0.07074400,246,1,1
122,109,116,0.04146700,383,1,1
123,90,68,0.01278900,269,1,2
124,85,89,0.00973100,453,1,1
125,128,86,0.00411200,404,1,1
126,131,75,0.00624000,457,0,1
127,132,76,0.00626000,457,0,1
128,101,76,0.01111600,453,1,1
129,124,103,0.02159100,404,1,1
130,125,110,0.03157000,316,1,1
131,103,83,0.00991700,316,1,1
132,104,94,0.02667400,316,1,1
133,111,79,0.04128100,269,1,1
134,88,77,0.03041300,246,1,1
135,116,107,0.03506200,246,1,1
136,108,98,0.02340900,316,1,1
137,115,78,0.01260300,316,1,1
138,106,87,0.00960700,301,1,1
139,97,78,0.02442100,246,1,1
140,116,77,0.01260300,316,1,1
141,82,96,0.04148800,404,1,1
142,123,117,0.02462800,314,1,1
143,123,109,0.01332700,246,1,1
144,99,70,0.00487600,269,0,1
145,100,69,0.00487600,269,0,1
146,92,126,0.02754400,831,1,2
