Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,0.00,12.00,8.40,8.40,8.40,8.40,0,4,0,1,1,0.00,36.00,40.24,45.51,4.00,4.00,4.00,0.00
2,0.00,10.00,7.00,7.00,7.00,7.00,0,4,0,2,2,0.00,29.48,32.17,37.27,3.33,3.33,3.33,0.00
3,0.00,9.10,6.37,6.37,6.37,6.37,0,5,0,1,1,0.00,42.26,46.98,55.33,3.03,3.03,3.03,0.00
4,0.00,28.00,19.60,19.60,19.60,19.60,1,11,0,1,1,0.00,50.55,54.19,60.80,9.33,9.33,9.33,0.00
5,0.00,18.00,12.60,12.60,12.60,12.60,0,11,0,1,1,0.00,42.16,44.75,48.94,6.00,6.00,6.00,0.00
6,0.00,8.20,5.74,5.74,5.74,5.74,0,17,0,2,2,0.00,41.06,46.93,53.43,2.73,2.73,2.73,0.00
7,0.00,1.20,0.84,0.84,0.84,0.84,0,19,0,1,1,0.00,32.06,35.13,41.31,0.40,0.40,0.40,0.00
8,0.00,10.00,7.00,7.00,7.00,7.00,0,22,0,4,4,0.00,43.25,46.68,52.72,3.33,3.33,3.33,0.00
9,0.00,16.10,11.27,11.27,11.27,11.27,0,24,0,4,4,0.00,43.49,48.24,54.88,5.37,5.37,5.37,0.00
10,0.00,35.50,24.85,24.85,24.85,24.85,0,24,0,1,1,0.00,44.91,48.64,58.56,11.83,11.83,11.83,0.00
11,0.00,36.00,25.20,25.20,25.20,25.20,1,25,0,4,4,0.00,39.61,41.88,48.45,12.00,12.00,12.00,0.00
12,0.00,27.20,19.04,19.04,19.04,19.04,0,25,0,4,4,0.00,47.84,51.74,63.87,9.07,9.07,9.07,0.00
13,0.00,8.00,5.60,5.60,5.60,5.60,0,40,0,2,2,0.00,46.91,52.06,61.88,2.67,2.67,2.67,0.00
14,0.00,16.00,11.20,11.20,11.20,11.20,1,47,0,4,4,0.00,41.81,47.83,58.32,5.33,5.33,5.33,0.00
15,0.00,16.00,11.20,11.20,11.20,11.20,1,47,0,2,2,0.00,24.39,26.80,31.37,5.33,5.33,5.33,0.00
16,0.00,23.00,16.10,16.10,16.10,16.10,0,48,0,4,4,0.00,41.36,44.82,49.45,7.67,7.67,7.67,0.00
17,0.00,24.00,16.80,16.80,16.80,16.80,0,48,0,2,2,0.00,43.41,46.07,49.86,8.00,8.00,8.00,0.00
18,0.00,13.00,9.10,9.10,9.10,9.10,1,57,0,1,1,0.00,43.25,47.53,52.70,4.33,4.33,4.33,0.00
19,0.00,24.00,16.80,16.80,16.80,16.80,0,64,0,1,1,0.00,50.68,56.61,65.45,8.00,8.00,8.00,0.00
20,0.00,27.60,19.32,19.32,19.32,19.32,0,64,0,4,4,0.00,66.12,71.16,77.42,9.20,9.20,9.20,0.00
21,0.00,30.04,21.03,21.03,21.03,21.03,0,69,0,4,4,0.00,45.33,47.76,55.75,10.01,10.01,10.01,0.00
22,0.00,23.00,16.10,16.10,16.10,16.10,0,70,0,2,2,0.00,36.84,40.94,47.72,7.67,7.67,7.67,0.00
23,0.00,6.68,4.68,4.68,4.68,4.68,1,85,0,4,4,0.00,29.33,32.22,40.69,2.23,2.23,2.23,0.00
24,0.00,9.20,6.44,6.44,6.44,6.44,0,86,0,4,4,0.00,54.98,62.17,66.92,3.07,3.07,3.07,0.00
25,0.00,46.00,32.20,32.20,32.20,32.20,1,102,0,2,2,0.00,34.73,38.82,43.16,15.33,15.33,15.33,0.00
26,0.00,12.00,8.40,8.40,8.40,8.40,1,122,0,1,1,0.00,28.07,29.96,33.09,4.00,4.00,4.00,0.00
27,0.00,9.00,6.30,6.30,6.30,6.30,0,124,0,2,2,0.00,22.92,24.33,28.21,3.00,3.00,3.00,0.00
28,0.00,26.00,18.20,18.20,18.20,18.20,1,125,0,1,1,0.00,46.56,51.83,58.73,8.67,8.67,8.67,0.00
