Line,Source,Target,Reactance,Normal Flow Limit (MW),Emergency Flow Limit (MW),Vulnerable?,Zone
1,1,2,0.09990000,99999,99999,1,1
2,1,3,0.04240000,99999,99999,1,1
3,4,5,0.00798000,99999,99999,1,1
4,3,5,0.10800000,99999,99999,1,1
5,5,6,0.05400000,99999,99999,1,1
6,6,7,0.02080000,99999,99999,1,1
7,8,9,0.03050000,99999,99999,0,1
8,8,5,0.02670000,99999,99999,1,1
9,9,10,0.03220000,99999,99999,0,1
10,4,11,0.06880000,99999,99999,1,1
11,5,11,0.06820000,99999,99999,1,1
12,11,12,0.01960000,99999,99999,1,1
13,2,12,0.06160000,99999,99999,1,1
14,3,12,0.16000000,99999,99999,1,1
15,7,12,0.03400000,99999,99999,1,1
16,11,13,0.07310000,99999,99999,1,1
17,12,14,0.07070000,99999,99999,1,1
18,13,15,0.24440000,99999,99999,1,1
19,14,15,0.19500000,99999,99999,1,1
20,12,16,0.08340000,99999,99999,1,1
21,15,17,0.04370000,99999,99999,1,1
22,16,17,0.18010000,99999,99999,1,1
23,17,18,0.05050000,99999,99999,1,1
24,18,19,0.04930000,99999,99999,1,1
25,19,20,0.11700000,99999,99999,1,1
26,15,19,0.03940000,99999,99999,1,1
27,20,21,0.08490000,99999,99999,1,1
28,21,22,0.09700000,99999,99999,1,1
29,22,23,0.15900000,99999,99999,1,1
30,23,24,0.04920000,99999,99999,1,1
31,23,25,0.08000000,99999,99999,1,1
32,26,25,0.03820000,99999,99999,1,1
33,25,27,0.16300000,99999,99999,1,1
34,27,28,0.08550000,99999,99999,1,1
35,28,29,0.09430000,99999,99999,1,1
36,30,17,0.03880000,99999,99999,1,1
37,8,30,0.05040000,99999,99999,1,1
38,26,30,0.08600000,99999,99999,1,1
39,17,31,0.15630000,99999,99999,1,1
40,29,31,0.03310000,99999,99999,1,1
41,23,32,0.11530000,99999,99999,1,1
42,31,32,0.09850000,99999,99999,1,1
43,27,32,0.07550000,99999,99999,1,1
44,15,33,0.12440000,99999,99999,1,1
45,19,34,0.24700000,99999,99999,1,1
46,35,36,0.01020000,99999,99999,1,1
47,35,37,0.04970000,99999,99999,1,1
48,33,37,0.14200000,99999,99999,1,1
49,34,36,0.02680000,99999,99999,1,1
50,34,37,0.00940000,99999,99999,1,1
51,38,37,0.03750000,99999,99999,1,1
52,37,39,0.10600000,99999,99999,1,1
53,37,40,0.16800000,99999,99999,1,1
