Unit,Min Power (MW),Max Power (MW),Ramp-Down Limit (MW),Ramp-Up Limit (MW),Shutdown Ramp Limit (MW),Startup Ramp Limit (MW),Initial State,Bus,Always On,Minimum Uptime (h),Minimum Downtime (h),Price Min Power ($),Price Segment 1 ($/MW),Price Segment 2 ($/MW),Price Segment 3 ($/MW),Offer Segment 1 (MW),Offer Segment 2 (MW),Offer Segment 3 (MW),Startup Cost ($)
1,0,100.00,70.00,70.00,70.00,70.00,0,1,0,2,2,0.00,21.55,24.42,27.36,33.33,33.33,33.33,0.00
2,0,100.00,70.00,70.00,70.00,70.00,0,4,0,1,1,0.00,60.69,65.36,80.33,33.33,33.33,33.33,0.00
3,0,100.00,70.00,70.00,70.00,70.00,0,6,0,4,4,0.00,32.23,34.20,38.43,33.33,33.33,33.33,0.00
4,0,100.00,70.00,70.00,70.00,70.00,0,8,0,2,2,0.00,54.40,59.87,70.22,33.33,33.33,33.33,0.00
5,0,550.00,385.00,385.00,385.00,385.00,1,10,0,2,2,0.00,38.89,43.52,52.07,183.33,183.33,183.33,0.00
6,0,185.00,129.50,129.50,129.50,129.50,1,12,0,1,1,0.00,52.27,56.63,60.68,61.67,61.67,61.67,0.00
7,0,100.00,70.00,70.00,70.00,70.00,0,15,0,1,1,0.00,59.21,66.41,72.98,33.33,33.33,33.33,0.00
8,0,100.00,70.00,70.00,70.00,70.00,0,18,0,2,2,0.00,47.46,52.19,58.97,33.33,33.33,33.33,0.00
9,0,100.00,70.00,70.00,70.00,70.00,0,19,0,1,1,0.00,62.25,68.55,79.59,33.33,33.33,33.33,0.00
10,0,100.00,70.00,70.00,70.00,70.00,0,24,0,4,4,0.00,33.21,37.09,42.29,33.33,33.33,33.33,0.00
11,0,320.00,224.00,224.00,224.00,224.00,1,25,0,4,4,0.00,47.27,53.00,62.72,106.67,106.67,106.67,0.00
12,0,414.00,289.80,289.80,289.80,289.80,1,26,0,4,4,0.00,31.31,33.69,35.97,138.00,138.00,138.00,0.00
13,0,100.00,70.00,70.00,70.00,70.00,0,27,0,2,2,0.00,27.86,30.63,31.77,33.33,33.33,33.33,0.00
14,0,107.00,74.90,74.90,74.90,74.90,1,31,0,4,4,0.00,35.29,36.79,40.16,35.67,35.67,35.67,0.00
15,0,100.00,70.00,70.00,70.00,70.00,0,32,0,2,2,0.00,30.81,33.39,38.99,33.33,33.33,33.33,0.00
16,0,100.00,70.00,70.00,70.00,70.00,0,34,0,2,2,0.00,31.61,33.81,40.07,33.33,33.33,33.33,0.00
17,0,100.00,70.00,70.00,70.00,70.00,0,36,0,1,1,0.00,44.35,47.31,53.76,33.33,33.33,33.33,0.00
18,0,100.00,70.00,70.00,70.00,70.00,0,40,0,4,4,0.00,34.42,38.79,44.34,33.33,33.33,33.33,0.00
19,0,100.00,70.00,70.00,70.00,70.00,0,42,0,2,2,0.00,34.33,38.38,44.34,33.33,33.33,33.33,0.00
20,0,119.00,83.30,83.30,83.30,83.30,1,46,0,1,1,0.00,36.27,40.52,45.37,39.67,39.67,39.67,0.00
21,0,304.00,212.80,212.80,212.80,212.80,1,49,0,4,4,0.00,30.73,34.57,39.03,101.33,101.33,101.33,0.00
22,0,148.00,103.60,103.60,103.60,103.60,1,54,0,1,1,0.00,57.55,62.58,71.91,49.33,49.33,49.33,0.00
23,0,100.00,70.00,70.00,70.00,70.00,0,55,0,2,2,0.00,52.10,56.50,61.52,33.33,33.33,33.33,0.00
24,0,100.00,70.00,70.00,70.00,70.00,0,56,0,4,4,0.00,52.70,56.76,60.16,33.33,33.33,33.33,0.00
25,0,255.00,178.50,178.50,178.50,178.50,1,59,0,1,1,0.00,30.26,32.74,40.33,85.00,85.00,85.00,0.00
26,0,260.00,182.00,182.00,182.00,182.00,1,61,0,1,1,0.00,33.65,37.20,44.62,86.67,86.67,86.67,0.00
27,0,100.00,70.00,70.00,70.00,70.00,0,62,0,2,2,0.00,36.04,39.69,46.55,33.33,33.33,33.33,0.00
28,0,491.00,343.70,343.70,343.70,343.70,1,65,0,2,2,0.00,37.11,39.75,46.82,163.67,163.67,163.67,0.00
29,0,492.00,344.40,344.40,344.40,344.40,1,66,0,1,1,0.00,32.66,36.59,44.47,164.00,164.00,164.00,0.00
30,0,805.20,563.64,563.64,563.64,563.64,1,69,0,4,4,0.00,32.71,36.34,40.99,268.40,268.40,268.40,0.00
31,0,100.00,70.00,70.00,70.00,70.00,0,70,0,2,2,0.00,48.39,54.45,61.80,33.33,33.33,33.33,0.00
32,0,100.00,70.00,70.00,70.00,70.00,0,72,0,1,1,0.00,42.67,48.88,57.43,33.33,33.33,33.33,0.00
